ticker,CSIIGL Index,GSUSCAI Index,GSCNCAI Index,WRAIRISK Index,VIX Index,FEDL01 Index,USGG10YR Index,XAU BGN Curncy,GSUSFCI Index,GSCNFCI Index,GSGLCAI Index
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,,,,,,,,
1950-06-30,,,,,,,,34.72,,,
1950-07-31,,,,,,,,34.72,,,
1950-08-31,,,,,,,,34.72,,,
1950-09-29,,,,,,,,34.72,,,
1950-10-31,,,,,,,,34.72,,,
1950-11-30,,,,,,,,34.72,,,
1950-12-29,,,,,,,,34.72,,,
1951-01-31,,,,,,,,34.72,,,
1951-02-28,,,,,,,,34.72,,,
1951-03-30,,,,,,,,34.72,,,
1951-04-30,,,,,,,,34.72,,,
1951-05-31,,,,,,,,34.72,,,
1951-06-29,,,,,,,,34.72,,,
1951-07-31,,,,,,,,34.72,,,
1951-08-31,,,,,,,,34.72,,,
1951-09-28,,,,,,,,34.72,,,
1951-10-31,,,,,,,,34.72,,,
1951-11-30,,,,,,,,34.72,,,
1951-12-31,,,,,,,,34.72,,,
1952-01-31,,,,,,,,34.6,,,
1952-02-29,,,,,,,,34.6,,,
1952-03-31,,,,,,,,34.6,,,
1952-04-30,,,,,,,,34.6,,,
1952-05-30,,,,,,,,34.6,,,
1952-06-30,,,,,,,,34.6,,,
1952-07-31,,,,,,,,34.6,,,
1952-08-29,,,,,,,,34.6,,,
1952-09-30,,,,,,,,34.6,,,
1952-10-31,,,,,,,,34.6,,,
1952-11-28,,,,,,,,34.6,,,
1952-12-31,,,,,,,,34.6,,,
1953-01-30,,,,,,,,34.84,,,
1953-02-27,,,,,,,,34.84,,,
1953-03-31,,,,,,,,34.84,,,
1953-04-30,,,,,,,,34.84,,,
1953-05-29,,,,,,,,34.84,,,
1953-06-30,,,,,,,,34.84,,,
1953-07-31,,,,,,,,34.84,,,
1953-08-31,,,,,,,,34.84,,,
1953-09-30,,,,,,,,34.84,,,
1953-10-30,,,,,,,,34.84,,,
1953-11-30,,,,,,,,34.84,,,
1953-12-31,,,,,,,,34.84,,,
1954-01-29,,,,,,,,35.04,,,
1954-02-26,,,,,,,,35.04,,,
1954-03-31,,,,,,,,35.04,,,
1954-04-30,,,,,,,,35.04,,,
1954-05-31,,,,,,,,35.04,,,
1954-06-30,,,,,,,,35.04,,,
1954-07-01,,,,,,1.13,,,,,
1954-07-02,,,,,,1.25,,,,,
1954-07-05,,,,,,0.88,,,,,
1954-07-06,,,,,,0.25,,,,,
1954-07-07,,,,,,1.0,,,,,
1954-07-08,,,,,,1.25,,,,,
1954-07-09,,,,,,1.25,,,,,
1954-07-12,,,,,,1.25,,,,,
1954-07-13,,,,,,1.13,,,,,
1954-07-14,,,,,,1.13,,,,,
1954-07-15,,,,,,0.75,,,,,
1954-07-16,,,,,,0.75,,,,,
1954-07-19,,,,,,0.5,,,,,
1954-07-20,,,,,,0.25,,,,,
1954-07-21,,,,,,0.25,,,,,
1954-07-22,,,,,,0.75,,,,,
1954-07-23,,,,,,0.75,,,,,
1954-07-26,,,,,,0.75,,,,,
1954-07-27,,,,,,0.38,,,,,
1954-07-28,,,,,,0.25,,,,,
1954-07-29,,,,,,0.38,,,,,
1954-07-30,,,,,,0.25,,35.04,,,
1954-08-02,,,,,,0.38,,,,,
1954-08-03,,,,,,0.25,,,,,
1954-08-04,,,,,,0.13,,,,,
1954-08-05,,,,,,0.75,,,,,
1954-08-06,,,,,,1.38,,,,,
1954-08-09,,,,,,1.38,,,,,
1954-08-10,,,,,,1.44,,,,,
1954-08-11,,,,,,1.44,,,,,
1954-08-12,,,,,,1.38,,,,,
1954-08-13,,,,,,1.44,,,,,
1954-08-16,,,,,,1.38,,,,,
1954-08-17,,,,,,1.38,,,,,
1954-08-18,,,,,,1.44,,,,,
1954-08-19,,,,,,1.38,,,,,
1954-08-20,,,,,,1.44,,,,,
1954-08-23,,,,,,1.44,,,,,
1954-08-24,,,,,,1.38,,,,,
1954-08-25,,,,,,1.38,,,,,
1954-08-26,,,,,,1.25,,,,,
1954-08-27,,,,,,1.25,,,,,
1954-08-30,,,,,,1.44,,,,,
1954-08-31,,,,,,1.44,,35.04,,,
1954-09-01,,,,,,1.44,,,,,
1954-09-02,,,,,,1.38,,,,,
1954-09-03,,,,,,1.38,,,,,
1954-09-06,,,,,,1.0,,,,,
1954-09-07,,,,,,1.13,,,,,
1954-09-08,,,,,,0.88,,,,,
1954-09-09,,,,,,1.25,,,,,
1954-09-10,,,,,,1.25,,,,,
1954-09-13,,,,,,1.38,,,,,
1954-09-14,,,,,,1.25,,,,,
1954-09-15,,,,,,1.0,,,,,
1954-09-16,,,,,,1.0,,,,,
1954-09-17,,,,,,0.5,,,,,
1954-09-20,,,,,,0.5,,,,,
1954-09-21,,,,,,0.5,,,,,
1954-09-22,,,,,,0.38,,,,,
1954-09-23,,,,,,0.75,,,,,
1954-09-24,,,,,,1.13,,,,,
1954-09-27,,,,,,1.25,,,,,
1954-09-28,,,,,,1.25,,,,,
1954-09-29,,,,,,1.44,,,,,
1954-09-30,,,,,,1.44,,35.04,,,
1954-10-01,,,,,,0.5,,,,,
1954-10-04,,,,,,0.5,,,,,
1954-10-05,,,,,,0.25,,,,,
1954-10-06,,,,,,0.13,,,,,
1954-10-07,,,,,,1.25,,,,,
1954-10-08,,,,,,1.25,,,,,
1954-10-11,,,,,,1.25,,,,,
1954-10-12,,,,,,1.25,,,,,
1954-10-13,,,,,,1.38,,,,,
1954-10-14,,,,,,1.38,,,,,
1954-10-15,,,,,,1.0,,,,,
1954-10-18,,,,,,0.38,,,,,
1954-10-19,,,,,,0.38,,,,,
1954-10-20,,,,,,0.25,,,,,
1954-10-21,,,,,,1.0,,,,,
1954-10-22,,,,,,0.63,,,,,
1954-10-25,,,,,,1.0,,,,,
1954-10-26,,,,,,0.75,,,,,
1954-10-27,,,,,,0.63,,,,,
1954-10-28,,,,,,1.0,,,,,
1954-10-29,,,,,,1.13,,35.04,,,
1954-11-01,,,,,,1.38,,,,,
1954-11-02,,,,,,1.38,,,,,
1954-11-03,,,,,,1.13,,,,,
1954-11-04,,,,,,1.0,,,,,
1954-11-05,,,,,,0.25,,,,,
1954-11-08,,,,,,0.25,,,,,
1954-11-09,,,,,,0.13,,,,,
1954-11-10,,,,,,0.13,,,,,
1954-11-11,,,,,,0.5,,,,,
1954-11-12,,,,,,0.5,,,,,
1954-11-15,,,,,,0.13,,,,,
1954-11-16,,,,,,0.13,,,,,
1954-11-17,,,,,,0.5,,,,,
1954-11-18,,,,,,1.0,,,,,
1954-11-19,,,,,,0.88,,,,,
1954-11-22,,,,,,1.0,,,,,
1954-11-23,,,,,,1.44,,,,,
1954-11-24,,,,,,1.44,,,,,
1954-11-25,,,,,,1.44,,,,,
1954-11-26,,,,,,1.44,,,,,
1954-11-29,,,,,,1.44,,,,,
1954-11-30,,,,,,1.38,,35.04,,,
1954-12-01,,,,,,1.25,,,,,
1954-12-02,,,,,,1.38,,,,,
1954-12-03,,,,,,1.44,,,,,
1954-12-06,,,,,,1.44,,,,,
1954-12-07,,,,,,1.38,,,,,
1954-12-08,,,,,,1.44,,,,,
1954-12-09,,,,,,1.25,,,,,
1954-12-10,,,,,,1.44,,,,,
1954-12-13,,,,,,1.44,,,,,
1954-12-14,,,,,,1.44,,,,,
1954-12-15,,,,,,0.5,,,,,
1954-12-16,,,,,,1.25,,,,,
1954-12-17,,,,,,1.25,,,,,
1954-12-20,,,,,,1.25,,,,,
1954-12-21,,,,,,1.25,,,,,
1954-12-22,,,,,,0.75,,,,,
1954-12-23,,,,,,1.0,,,,,
1954-12-24,,,,,,1.0,,,,,
1954-12-27,,,,,,1.44,,,,,
1954-12-28,,,,,,1.44,,,,,
1954-12-29,,,,,,1.44,,,,,
1954-12-30,,,,,,1.44,,,,,
1954-12-31,,,,,,1.44,,35.04,,,
1955-01-03,,,,,,1.44,,,,,
1955-01-04,,,,,,1.25,,,,,
1955-01-05,,,,,,1.0,,,,,
1955-01-06,,,,,,1.25,,,,,
1955-01-07,,,,,,1.44,,,,,
1955-01-10,,,,,,1.44,,,,,
1955-01-11,,,,,,1.44,,,,,
1955-01-12,,,,,,1.44,,,,,
1955-01-13,,,,,,1.44,,,,,
1955-01-14,,,,,,1.44,,,,,
1955-01-17,,,,,,1.44,,,,,
1955-01-18,,,,,,1.38,,,,,
1955-01-19,,,,,,1.0,,,,,
1955-01-20,,,,,,1.44,,,,,
1955-01-21,,,,,,1.44,,,,,
1955-01-24,,,,,,1.44,,,,,
1955-01-25,,,,,,1.25,,,,,
1955-01-26,,,,,,1.44,,,,,
1955-01-27,,,,,,1.44,,,,,
1955-01-28,,,,,,1.44,,,,,
1955-01-31,,,,,,1.44,,35.03,,,
1955-02-01,,,,,,1.44,,,,,
1955-02-02,,,,,,1.44,,,,,
1955-02-03,,,,,,1.44,,,,,
1955-02-04,,,,,,1.44,,,,,
1955-02-07,,,,,,1.38,,,,,
1955-02-08,,,,,,1.0,,,,,
1955-02-09,,,,,,0.75,,,,,
1955-02-10,,,,,,1.0,,,,,
1955-02-11,,,,,,1.25,,,,,
1955-02-14,,,,,,0.75,,,,,
1955-02-15,,,,,,1.0,,,,,
1955-02-16,,,,,,1.44,,,,,
1955-02-17,,,,,,1.44,,,,,
1955-02-18,,,,,,1.44,,,,,
1955-02-21,,,,,,1.25,,,,,
1955-02-22,,,,,,1.25,,,,,
1955-02-23,,,,,,1.0,,,,,
1955-02-24,,,,,,1.44,,,,,
1955-02-25,,,,,,1.44,,,,,
1955-02-28,,,,,,1.44,,35.03,,,
1955-03-01,,,,,,1.44,,,,,
1955-03-02,,,,,,1.0,,,,,
1955-03-03,,,,,,1.25,,,,,
1955-03-04,,,,,,1.44,,,,,
1955-03-07,,,,,,1.44,,,,,
1955-03-08,,,,,,1.44,,,,,
1955-03-09,,,,,,1.44,,,,,
1955-03-10,,,,,,1.44,,,,,
1955-03-11,,,,,,1.44,,,,,
1955-03-14,,,,,,1.44,,,,,
1955-03-15,,,,,,1.0,,,,,
1955-03-16,,,,,,0.5,,,,,
1955-03-17,,,,,,1.44,,,,,
1955-03-18,,,,,,1.44,,,,,
1955-03-21,,,,,,1.44,,,,,
1955-03-22,,,,,,1.25,,,,,
1955-03-23,,,,,,0.75,,,,,
1955-03-24,,,,,,1.44,,,,,
1955-03-25,,,,,,1.44,,,,,
1955-03-28,,,,,,1.44,,,,,
1955-03-29,,,,,,1.44,,,,,
1955-03-30,,,,,,1.44,,,,,
1955-03-31,,,,,,1.44,,35.03,,,
1955-04-01,,,,,,1.44,,,,,
1955-04-04,,,,,,1.44,,,,,
1955-04-05,,,,,,1.44,,,,,
1955-04-06,,,,,,1.44,,,,,
1955-04-07,,,,,,1.44,,,,,
1955-04-08,,,,,,1.44,,,,,
1955-04-11,,,,,,1.44,,,,,
1955-04-12,,,,,,1.44,,,,,
1955-04-13,,,,,,1.44,,,,,
1955-04-14,,,,,,1.44,,,,,
1955-04-15,,,,,,1.38,,,,,
1955-04-18,,,,,,1.5,,,,,
1955-04-19,,,,,,1.25,,,,,
1955-04-20,,,,,,1.5,,,,,
1955-04-21,,,,,,1.63,,,,,
1955-04-22,,,,,,1.63,,,,,
1955-04-25,,,,,,1.38,,,,,
1955-04-26,,,,,,1.0,,,,,
1955-04-27,,,,,,0.5,,,,,
1955-04-28,,,,,,1.5,,,,,
1955-04-29,,,,,,1.69,,35.03,,,
1955-05-02,,,,,,1.69,,,,,
1955-05-03,,,,,,1.69,,,,,
1955-05-04,,,,,,1.69,,,,,
1955-05-05,,,,,,1.63,,,,,
1955-05-06,,,,,,1.5,,,,,
1955-05-09,,,,,,1.25,,,,,
1955-05-10,,,,,,0.75,,,,,
1955-05-11,,,,,,1.0,,,,,
1955-05-12,,,,,,1.69,,,,,
1955-05-13,,,,,,1.63,,,,,
1955-05-16,,,,,,1.63,,,,,
1955-05-17,,,,,,0.5,,,,,
1955-05-18,,,,,,0.5,,,,,
1955-05-19,,,,,,1.5,,,,,
1955-05-20,,,,,,1.0,,,,,
1955-05-23,,,,,,1.5,,,,,
1955-05-24,,,,,,1.5,,,,,
1955-05-25,,,,,,1.69,,,,,
1955-05-26,,,,,,1.69,,,,,
1955-05-27,,,,,,1.69,,,,,
1955-05-30,,,,,,1.69,,,,,
1955-05-31,,,,,,1.69,,35.03,,,
1955-06-01,,,,,,1.69,,,,,
1955-06-02,,,,,,1.69,,,,,
1955-06-03,,,,,,1.69,,,,,
1955-06-06,,,,,,1.69,,,,,
1955-06-07,,,,,,1.63,,,,,
1955-06-08,,,,,,1.63,,,,,
1955-06-09,,,,,,1.69,,,,,
1955-06-10,,,,,,1.69,,,,,
1955-06-13,,,,,,1.69,,,,,
1955-06-14,,,,,,1.69,,,,,
1955-06-15,,,,,,1.69,,,,,
1955-06-16,,,,,,1.69,,,,,
1955-06-17,,,,,,1.5,,,,,
1955-06-20,,,,,,1.63,,,,,
1955-06-21,,,,,,1.63,,,,,
1955-06-22,,,,,,1.38,,,,,
1955-06-23,,,,,,1.63,,,,,
1955-06-24,,,,,,1.63,,,,,
1955-06-27,,,,,,1.69,,,,,
1955-06-28,,,,,,1.69,,,,,
1955-06-29,,,,,,1.69,,,,,
1955-06-30,,,,,,1.69,,35.03,,,
1955-07-01,,,,,,1.69,,,,,
1955-07-04,,,,,,1.69,,,,,
1955-07-05,,,,,,1.69,,,,,
1955-07-06,,,,,,1.69,,,,,
1955-07-07,,,,,,1.69,,,,,
1955-07-08,,,,,,1.69,,,,,
1955-07-11,,,,,,1.69,,,,,
1955-07-12,,,,,,1.69,,,,,
1955-07-13,,,,,,1.69,,,,,
1955-07-14,,,,,,1.69,,,,,
1955-07-15,,,,,,1.63,,,,,
1955-07-18,,,,,,1.63,,,,,
1955-07-19,,,,,,1.63,,,,,
