ticker,LF98TRUU Index,SPX Index,NG1 COMB Comdty,CCMP Index,XAU Curncy,CL1 COMB Comdty,HG1 COMB Comdty,INDU Index,SXXP Index,SHCOMP Index,LBUSTRUU Index
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,,,,,,,,
1950-06-29,,17.44,,,,,,206.7,,,
1950-06-30,,17.69,,,34.72,,,209.1,,,
1950-07-03,,17.64,,,,,,208.3,,,
1950-07-05,,17.81,,,,,,210.0,,,
1950-07-06,,17.91,,,,,,210.8,,,
1950-07-07,,17.67,,,,,,208.5,,,
1950-07-10,,17.59,,,,,,208.0,,,
1950-07-11,,17.32,,,,,,204.5,,,
1950-07-12,,16.87,,,,,,199.0,,,
1950-07-13,,16.69,,,,,,197.4,,,
1950-07-14,,16.87,,,,,,199.8,,,
1950-07-17,,16.68,,,,,,197.6,,,
1950-07-18,,17.06,,,,,,201.8,,,
1950-07-19,,17.36,,,,,,205.1,,,
1950-07-20,,17.61,,,,,,207.7,,,
1950-07-21,,17.59,,,,,,207.6,,,
1950-07-24,,17.48,,,,,,206.9,,,
1950-07-25,,17.23,,,,,,203.8,,,
1950-07-26,,17.27,,,,,,204.3,,,
1950-07-27,,17.5,,,,,,206.3,,,
1950-07-28,,17.69,,,,,,208.2,,,
1950-07-31,,17.84,,,34.72,,,209.3,,,
1950-08-01,,18.02,,,,,,211.8,,,
1950-08-02,,17.95,,,,,,211.2,,,
1950-08-03,,17.99,,,,,,211.2,,,
1950-08-04,,18.14,,,,,,212.6,,,
1950-08-07,,18.41,,,,,,215.8,,,
1950-08-08,,18.46,,,,,,215.4,,,
1950-08-09,,18.61,,,,,,216.9,,,
1950-08-10,,18.48,,,,,,216.6,,,
1950-08-11,,18.28,,,,,,215.0,,,
1950-08-14,,18.29,,,,,,215.3,,,
1950-08-15,,18.32,,,,,,215.3,,,
1950-08-16,,18.34,,,,,,215.7,,,
1950-08-17,,18.54,,,,,,217.7,,,
1950-08-18,,18.68,,,,,,219.2,,,
1950-08-21,,18.7,,,,,,220.2,,,
1950-08-22,,18.68,,,,,,219.7,,,
1950-08-23,,18.82,,,,,,221.5,,,
1950-08-24,,18.79,,,,,,221.1,,,
1950-08-25,,18.54,,,,,,218.0,,,
1950-08-28,,18.53,,,,,,218.5,,,
1950-08-29,,18.54,,,,,,218.2,,,
1950-08-30,,18.43,,,,,,217.0,,,
1950-08-31,,18.42,,,34.72,,,216.8,,,
1950-09-01,,18.55,,,,,,218.4,,,
1950-09-05,,18.68,,,,,,220.0,,,
1950-09-06,,18.54,,,,,,218.1,,,
1950-09-07,,18.59,,,,,,218.3,,,
1950-09-08,,18.75,,,,,,220.0,,,
1950-09-11,,18.61,,,,,,218.0,,,
1950-09-12,,18.87,,,,,,220.8,,,
1950-09-13,,19.09,,,,,,223.4,,,
1950-09-14,,19.18,,,,,,224.4,,,
1950-09-15,,19.29,,,,,,225.8,,,
1950-09-18,,19.37,,,,,,226.7,,,
1950-09-19,,19.31,,,,,,225.7,,,
1950-09-20,,19.21,,,,,,224.3,,,
1950-09-21,,19.37,,,,,,226.0,,,
1950-09-22,,19.44,,,,,,226.6,,,
1950-09-25,,19.42,,,,,,226.0,,,
1950-09-26,,19.14,,,,,,222.8,,,
1950-09-27,,19.41,,,,,,225.7,,,
1950-09-28,,19.42,,,,,,225.9,,,
1950-09-29,,19.45,,,34.72,,,226.3,,,
1950-10-02,,19.69,,,,,,228.9,,,
1950-10-03,,19.66,,,,,,228.8,,,
1950-10-04,,20.0,,,,,,231.1,,,
1950-10-05,,19.89,,,,,,229.8,,,
1950-10-06,,20.12,,,,,,231.7,,,
1950-10-09,,20.0,,,,,,230.0,,,
1950-10-10,,19.78,,,,,,227.5,,,
1950-10-11,,19.86,,,,,,228.9,,,
1950-10-13,,19.85,,,,,,228.5,,,
1950-10-16,,19.71,,,,,,227.5,,,
1950-10-17,,19.89,,,,,,229.2,,,
1950-10-18,,20.01,,,,,,230.5,,,
1950-10-19,,20.02,,,,,,230.8,,,
1950-10-20,,19.96,,,,,,230.3,,,
1950-10-23,,19.96,,,,,,230.6,,,
1950-10-24,,20.08,,,,,,231.3,,,
1950-10-25,,20.05,,,,,,231.4,,,
1950-10-26,,19.61,,,,,,226.6,,,
1950-10-27,,19.77,,,,,,228.2,,,
1950-10-30,,19.61,,,,,,226.4,,,
1950-10-31,,19.53,,,34.72,,,225.0,,,
1950-11-01,,19.56,,,,,,225.6,,,
1950-11-02,,19.73,,,,,,227.2,,,
1950-11-03,,19.85,,,,,,228.0,,,
1950-11-06,,19.36,,,,,,222.5,,,
1950-11-08,,19.56,,,,,,224.2,,,
1950-11-09,,19.79,,,,,,227.1,,,
1950-11-10,,19.94,,,,,,229.2,,,
1950-11-13,,20.01,,,,,,229.4,,,
1950-11-14,,19.86,,,,,,229.5,,,
1950-11-15,,19.82,,,,,,229.5,,,
1950-11-16,,19.72,,,,,,228.9,,,
1950-11-17,,19.86,,,,,,230.2,,,
1950-11-20,,19.93,,,,,,231.5,,,
1950-11-21,,19.88,,,,,,231.1,,,
1950-11-22,,20.16,,,,,,233.8,,,
1950-11-24,,20.32,,,,,,235.4,,,
1950-11-27,,20.18,,,,,,234.9,,,
1950-11-28,,19.56,,,,,,228.6,,,
1950-11-29,,19.37,,,,,,226.4,,,
1950-11-30,,19.51,,,34.72,,,227.5,,,
1950-12-01,,19.66,,,,,,228.8,,,
1950-12-04,,19.0,,,,,,222.3,,,
1950-12-05,,19.31,,,,,,225.4,,,
1950-12-06,,19.45,,,,,,226.1,,,
1950-12-07,,19.4,,,,,,225.9,,,
1950-12-08,,19.4,,,,,,226.7,,,
1950-12-11,,19.72,,,,,,229.1,,,
1950-12-12,,19.68,,,,,,229.2,,,
1950-12-13,,19.67,,,,,,228.8,,,
1950-12-14,,19.43,,,,,,225.8,,,
1950-12-15,,19.33,,,,,,224.6,,,
1950-12-18,,19.85,,,,,,231.0,,,
1950-12-19,,19.96,,,,,,231.5,,,
1950-12-20,,19.97,,,,,,231.1,,,
1950-12-21,,19.98,,,,,,230.4,,,
1950-12-22,,20.07,,,,,,231.5,,,
1950-12-26,,19.92,,,,,,229.6,,,
1950-12-27,,20.3,,,,,,234.2,,,
1950-12-28,,20.38,,,,,,235.3,,,
1950-12-29,,20.43,,,34.72,,,235.4,,,
1951-01-02,,20.77,,,,,,239.91,,,
1951-01-03,,20.69,,,,,,238.98,,,
1951-01-04,,20.87,,,,,,240.85,,,
1951-01-05,,20.87,,,,,,240.95,,,
1951-01-08,,21.0,,,,,,242.28,,,
1951-01-09,,21.12,,,,,,243.5,,,
1951-01-10,,20.85,,,,,,240.39,,,
1951-01-11,,21.19,,,,,,244.71,,,
1951-01-12,,21.11,,,,,,243.8,,,
1951-01-15,,21.3,,,,,,245.01,,,
1951-01-16,,21.46,,,,,,246.64,,,
1951-01-17,,21.55,,,,,,248.0,,,
1951-01-18,,21.4,,,,,,247.38,,,
1951-01-19,,21.36,,,,,,246.75,,,
1951-01-22,,21.18,,,,,,244.32,,,
1951-01-23,,21.26,,,,,,245.29,,,
1951-01-24,,21.16,,,,,,244.35,,,
1951-01-25,,21.03,,,,,,242.21,,,
1951-01-26,,21.26,,,,,,244.5,,,
1951-01-29,,21.67,,,,,,248.63,,,
1951-01-30,,21.74,,,,,,249.57,,,
1951-01-31,,21.66,,,34.72,,,248.82,,,
1951-02-01,,21.77,,,,,,250.75,,,
1951-02-02,,21.96,,,,,,252.77,,,
1951-02-05,,22.2,,,,,,255.16,,,
1951-02-06,,22.12,,,,,,254.61,,,
1951-02-07,,21.99,,,,,,252.69,,,
1951-02-08,,22.09,,,,,,253.33,,,
1951-02-09,,22.17,,,,,,254.23,,,
1951-02-13,,22.18,,,,,,255.7,,,
1951-02-14,,22.12,,,,,,255.09,,,
1951-02-15,,22.0,,,,,,253.6,,,
1951-02-16,,22.13,,,,,,254.89,,,
1951-02-19,,21.83,,,,,,251.66,,,
1951-02-20,,21.79,,,,,,251.11,,,
1951-02-21,,21.86,,,,,,252.27,,,
1951-02-23,,21.92,,,,,,252.17,,,
1951-02-26,,21.93,,,,,,253.17,,,
1951-02-27,,21.76,,,,,,251.33,,,
1951-02-28,,21.8,,,34.72,,,252.04,,,
1951-03-01,,21.85,,,,,,252.79,,,
1951-03-02,,21.93,,,,,,253.6,,,
1951-03-05,,21.79,,,,,,251.81,,,
1951-03-06,,21.79,,,,,,251.54,,,
1951-03-07,,21.86,,,,,,252.44,,,
1951-03-08,,21.95,,,,,,252.8,,,
1951-03-09,,21.95,,,,,,252.75,,,
1951-03-12,,21.7,,,,,,249.88,,,
1951-03-13,,21.41,,,,,,245.87,,,
1951-03-14,,21.25,,,,,,243.94,,,
1951-03-15,,21.29,,,,,,244.84,,,
1951-03-16,,21.64,,,,,,248.61,,,
1951-03-19,,21.56,,,,,,248.07,,,
1951-03-20,,21.52,,,,,,247.86,,,
1951-03-21,,21.64,,,,,,249.36,,,
1951-03-22,,21.73,,,,,,250.51,,,
1951-03-23,,,,,,,,250.51,,,
1951-03-26,,21.53,,,,,,249.12,,,
1951-03-27,,21.51,,,,,,248.73,,,
1951-03-28,,21.26,,,,,,246.18,,,
1951-03-29,,21.33,,,,,,246.89,,,
1951-03-30,,21.48,,,34.72,,,247.93,,,
1951-04-02,,21.32,,,,,,246.62,,,
1951-04-03,,21.26,,,,,,246.01,,,
1951-04-04,,21.4,,,,,,247.3,,,
1951-04-05,,21.69,,,,,,250.31,,,
1951-04-06,,21.72,,,,,,250.82,,,
1951-04-09,,21.68,,,,,,250.56,,,
1951-04-10,,21.65,,,,,,250.41,,,
1951-04-11,,21.64,,,,,,249.75,,,
1951-04-12,,21.83,,,,,,251.65,,,
1951-04-13,,22.09,,,,,,254.75,,,
1951-04-16,,22.04,,,,,,254.84,,,
1951-04-17,,22.09,,,,,,255.33,,,
1951-04-18,,22.13,,,,,,256.0,,,
1951-04-19,,22.04,,,,,,254.91,,,
1951-04-20,,22.04,,,,,,254.81,,,
1951-04-23,,22.05,,,,,,255.11,,,
1951-04-24,,21.96,,,,,,254.18,,,
1951-04-25,,21.97,,,,,,254.75,,,
1951-04-26,,22.16,,,,,,257.12,,,
1951-04-27,,22.39,,,,,,258.95,,,
1951-04-30,,22.43,,,34.72,,,259.12,,,
1951-05-01,,22.53,,,,,,260.7,,,
1951-05-02,,22.62,,,,,,261.26,,,
1951-05-03,,22.81,,,,,,263.12,,,
1951-05-04,,22.77,,,,,,262.76,,,
1951-05-07,,22.63,,,,,,261.22,,,
1951-05-08,,22.61,,,,,,261.09,,,
1951-05-09,,22.64,,,,,,261.48,,,
1951-05-10,,22.51,,,,,,260.06,,,
1951-05-11,,22.33,,,,,,258.55,,,
1951-05-14,,22.18,,,,,,256.07,,,
1951-05-15,,21.76,,,,,,252.07,,,
1951-05-16,,21.69,,,,,,252.13,,,
1951-05-17,,21.91,,,,,,254.56,,,
1951-05-18,,21.51,,,,,,250.09,,,
1951-05-21,,21.46,,,,,,249.97,,,
1951-05-22,,21.36,,,,,,249.29,,,
1951-05-23,,21.16,,,,,,247.02,,,
1951-05-24,,21.05,,,,,,245.77,,,
1951-05-25,,21.03,,,,,,245.26,,,
1951-05-28,,21.21,,,,,,247.02,,,
1951-05-29,,21.35,,,,,,248.43,,,
1951-05-31,,21.52,,,34.72,,,249.64,,,
1951-06-01,,21.48,,,,,,249.32,,,
1951-06-04,,21.24,,,,,,246.78,,,
1951-06-05,,21.33,,,,,,247.58,,,
1951-06-06,,21.48,,,,,,249.63,,,
1951-06-07,,21.56,,,,,,250.8,,,
1951-06-08,,21.49,,,,,,250.38,,,
1951-06-11,,21.61,,,,,,251.55,,,
1951-06-12,,21.52,,,,,,250.56,,,
1951-06-13,,21.55,,,,,,250.02,,,
1951-06-14,,21.84,,,,,,252.45,,,
1951-06-15,,22.04,,,,,,254.02,,,
1951-06-18,,22.05,,,,,,253.79,,,
1951-06-19,,22.02,,,,,,253.52,,,
1951-06-20,,21.91,,,,,,251.85,,,
1951-06-21,,21.78,,,,,,250.42,,,
1951-06-22,,21.55,,,,,,247.85,,,
1951-06-25,,21.29,,,,,,245.29,,,
1951-06-26,,21.3,,,,,,246.27,,,
1951-06-27,,21.37,,,,,,246.83,,,
1951-06-28,,21.1,,,,,,244.0,,,
1951-06-29,,20.96,,,34.72,,,242.63,,,
1951-07-02,,21.1,,,,,,243.97,,,
1951-07-03,,21.23,,,,,,245.91,,,
1951-07-05,,21.64,,,,,,250.26,,,
1951-07-06,,21.64,,,,,,250.0,,,
1951-07-09,,21.73,,,,,,250.64,,,
1951-07-10,,21.63,,,,,,250.0,,,
1951-07-11,,21.68,,,,,,250.96,,,
1951-07-12,,21.8,,,,,,252.58,,,
1951-07-13,,21.98,,,,,,254.31,,,
1951-07-16,,21.73,,,,,,252.3,,,
1951-07-17,,21.92,,,,,,253.88,,,
1951-07-18,,21.88,,,,,,253.66,,,
1951-07-19,,21.84,,,,,,253.75,,,
1951-07-20,,21.88,,,,,,253.72,,,
1951-07-23,,22.1,,,,,,255.67,,,
1951-07-24,,22.44,,,,,,258.93,,,
1951-07-25,,22.32,,,,,,258.1,,,
1951-07-26,,22.47,,,,,,259.08,,,
1951-07-27,,22.53,,,,,,259.22,,,
1951-07-30,,22.63,,,,,,260.69,,,
1951-07-31,,22.4,,,34.72,,,257.85,,,
1951-08-01,,22.51,,,,,,259.88,,,
1951-08-02,,22.82,,,,,,262.88,,,
1951-08-03,,22.85,,,,,,262.97,,,
1951-08-06,,23.01,,,,,,265.2,,,
1951-08-07,,23.03,,,,,,264.93,,,
1951-08-08,,22.93,,,,,,263.72,,,
1951-08-09,,22.84,,,,,,262.68,,,
1951-08-10,,22.79,,,,,,261.91,,,
1951-08-13,,22.8,,,,,,263.05,,,
